bus_stop
北白川
北白川小倉町
神泉苑前
烏丸七条
小松原児童公園前
堀川今出川
河原町丸太町
国道大手筋
北白川仕伏町
西大路五条
河原町五条
久世七本松
墨染
九条大宮
千本丸太町
久世橋東詰
九条車庫前
千本北大路
河原町八条
西大路駅前
京都駅八条口アバンティ前
東寺道
智恵光院中立売
大宮松原
樫原塚ノ本町
七条御前通
地下鉄十条駅前
今宮神社前(京都府)
河原町正面
西小路御池
太秦天神川駅前
荒神口
千本旧二条
東寺南門前
烏丸下立売
妙心寺北門前
西洞院六条
烏丸札ノ辻
堀川五条
西大路花屋町
七条大宮・京都水族館前
十条新町
葛野大路八条
北山駅前
上堀川
今出川浄福寺
烏丸六条
北白川校前
鳴滝松本町
四条京阪前
丸太町京阪前
西大路八条
壬生寺道
千本出水
西大路七条
四条中学前
河原町今出川
一乗寺地蔵本町
四条河原町北詰〔よるバス〕
久世橋通新町
七本松出水
葛野大路高辻
五条京阪〔清水五条駅〕
烏丸下長者町
北大路新町
十条竹田街道
丹波橋
千本今出川
大宮五条
一条戻橋・晴明神社前
七条河原町
三栖大黒町
三条京阪前
八条中学前
大宮交通公園前
常盤御池町
嵐電妙心寺駅前
四条中新道
上賀茂松本町
岡崎道
西大路三条
西大路御池
東山二条・岡崎公園口
二条駅前
七条壬生川
塩小路橋
西洞院仏光寺
久世橋通大宮
塩小路高倉・京都市立芸術大学前
北白川別当町
梅小路公園・ＪＲ梅小路京都西駅前
西大路四条［阪急・嵐電西院駅］
五条大和大路・東山開睛館前
衣笠氷室町
二条駅西口
京都駅八条口
堀川中立売
西洞院正面
西墨染通
河原町三条北〔よるバス〕
堀川三条
東寺東門前
西丹波橋
堀川下立売
三条春日
河原町三条南〔よるバス〕
岡崎神社前
今出川大宮
大宮中立売
久世橋通油小路
丸太町智恵光院
西小路花屋町
四条堀川
堀川上立売
岡崎公園　ロームシアター京都・みやこめっせ前
五条西洞院
千本上立売
東寺町
神宮道
岡崎公園　動物園前
松室北河原町
十条油小路
堀川下長者町
近衛通
東山七条
烏丸御池
天神公園前
北山橋東詰
西ノ京塚本町
地下鉄九条駅前［大石橋］
十条大宮
四条葛野大路
八条油小路
丸太町御前通
七条京阪前
烏丸北大路〔北大路駅前〕
大宮田尻町
岩ノ本町
二条城前
堀川鞍馬口
わら天神前
葛野大路花屋町
四条烏丸［地下鉄四条駅］
西大手筋
千本中立売
九条御前通
河原町三条
北大路バスターミナル［地下鉄北大路駅］
烏丸五条［地下鉄五条駅］
東寺西門前
堀川御池
十条相深町
烏丸二条
西大路松原
鳴滝本町
堀川丸太町
葛野大路九条
堀川蛸薬師
九条河原町
七条千本
西洞院松原
四条御前通
四条高倉
五条壬生川
丸太町七本松
七条堀川
西久宝寺町
河原町十条
五条坂
九条近鉄前
大宮総門口町
千本三条・朱雀立命館前
西寺町
堀川松原
東山三条［地下鉄東山駅］
烏丸丸太町［地下鉄丸太町駅］
山越中町
河原町東寺道
五条高倉
四条西洞院
烏丸三条
岡崎法勝寺町
堀川寺ノ内
四条大宮
四条河原町
烏丸一条
油小路丹波橋・アクト京都前
妙心寺前
久世橋西詰
九条七本松
烏丸今出川［地下鉄今出川駅］
岡崎公園　美術館・平安神宮前
七条西洞院
川端二条
堺町御池
河原町松原
梅小路公園・京都鉄道博物館前
北大路堀川
中ノ橋五条
東山仁王門
新間ノ町二条
四条河原町南〔よるバス〕
下鴨東本町
大宮小野堀町
七本松仁和寺街道
千本鞍馬口
新町御池
山ノ内御池
千本十条
八条大宮
烏丸松原
西大路九条
一乗寺木ノ本町
大宮大門町
