street
寺町通
錦小路通
東鞍馬口通
七本松通
水垂上桂線
神宮道
烏丸通
梅小路通
千本通
下板橋通
揚梅通
諏訪町通
奈良街道
竹の里北通り
西石垣通
下魚棚通
鍵屋町通
久世橋通
間之町通
七条大宮四塚線
六波羅裏門通
両替町通
洛西中央通り
宇多野嵐山山田線
三条通
京都日吉美山線
今出川通
山中越え
鞘町通
黒門通
三年坂
新道通
京都広河原美山線
佐々江京北線
東中筋通
新柳馬場通
新千本通
宮ノ辻神吉線
元大宮通
川端通
下鴨京都停車場線
衣笠宇多野線
黒門通（新シ町通）
安井北門通
市道蹴上高野線
下切通シ
日野薬師線
押小路通
高倉通
神宮通
八条通
五条通
蹴上高野線
国道１６２号線
宮川町通
松屋町通
日暮通
国道１７１号線
中地熊田線
西小路
二条停車場円町線
上立売通
本町通
墨染通
醒ケ井通
新椹木町通
二条停車場嵐山線
御前通
勧修寺日ノ岡線
花園停車場御室線
松原通
今小路通
六条通
石塀小路
仁和寺街道
古門前通
新高倉通
鹿ケ谷通
東大路通
蛸薬師通
西寺町通
天神通
柿町通
吉田東通
中筋通
美福通
賀茂街道
岡崎通
清水坂
中町通
大宮通
毛利橋通
春日上通
伏見港京都停車場線
福西中通り
神護寺線
市道嵐山祇園線
裏門通
西塩小路通
花屋町通
新小栗栖街道
若宮通
渋谷山科停車場線
清水新道（茶わん坂）
伏見柳谷高槻線
丹波橋通
西三本木通
国道３６７号線
上枳穀馬場通（上珠数屋町通）
向島宇治線
切り通し
旧小栗栖街道
四ノ宮四ツ塚線
浄福寺通
椥辻通
上黒田貴船線
北泉通
中山稲荷線
福西本通り
西大路通
清滝道
船岡東通
新東洞院通
宝ケ池通
上長者町通
旧奈良街道
武者小路通
柚原向日線
京都八幡木津自転車道線
新奈良街道
元誓願寺通
桜馬場通
櫛笥通
曼殊院通
三之宮町通
先斗町通
塔ノ段通
花見小路通
二条通
壬生通
東山ドライブウェイ
下長者町通
針小路通
渋谷通
大黒町通
冷泉通
岩倉中通
木津屋橋通
修学院離宮道
丸太町通
後院通
南インター竹田線
雲ケ畑下杉坂線
柳馬場通
新麩屋町通
上板橋通
六軒町通
桝形通
洛南道路
下松屋町通
伏見向日線
名神高速道路
麩屋町通
勧修寺今熊野線
境谷中通り
堺町通
万寿寺通
佐々里井戸線
大津宇治線
向日善峰線
丹波口通
十条通
白川北通
銀閣寺宇多野線
上切通シ
出水通
白川通
五辻通
二之宮町通
市道衣笠宇多野線
一条通
塩小路通
正面通（中珠数屋通）
玄以通
若松通
大和大路通（縄手通）
綾小路通
御霊図子通
新門前通
麻生古屋梅ノ木線
紫明通
大津淀線
正面通
白川南通
宇多野吉祥院線
京都縦貫自動車道（京都丹波道路）
神泉苑通
石薬師通
嵯峨野西梅津線
竹の里本通り
錦市場
嵐山・高雄パークウェイ
今宮通
新烏丸通
新町通
沓掛西大路五条線
佐々江下中線
国道９号線
御池通
中道通
二年坂
上賀茂山端線
北小路通
荒神口通
城南宮北出入口
仏光寺通
嵯峨嵐山停車場線
不明門通
福西東通り
嵐山祇園線
上ノ下立売通（妙心寺通）
釜座通
太秦上桂線
京都環状線
京都京北線
仁王門通
岩倉山端線
天神川通
新京極通
二条停車場東山三条線
上ノ口通
近衛通
新富小路通
智恵光院通
裏寺町通
市道京都環状線
車屋町通
孫橋通
下鴨静原大原線
小川通
新丸太町通
嵐山高架道路
醍醐街道
師団街道
椹木町通
問屋町通
富小路通
鹿ケ谷嵐山線
姉小路通
市道鹿ケ谷嵐山線
西陣杉坂線
北山通
旧京阪国道
新間之町通
六軒通
西中筋通
新十条通
衣棚通
塔下弓削線
新橋通
愛宕弓槻線
中立売通
新林本通り
下鴨東通
梅津東山七条線
大覚寺平岡線
新宮川町通
御幸町通
新堺町通
新車屋町通
国道４７７号線
下立売通
高辻通
清滝鳥居本線
花園停車場大将軍線
維新の道
東海自然歩道
土手町通
西木屋町通
油小路通
古川町通
四条通
阪神高速８号京都線
下枳穀馬場通（下珠数屋町通）
猪熊通
葛野西通
北大路通
一般国道１６２号
中長者町通
周山街道
葭屋町通
六角通
東寺通
日野道
七条通
木屋町通
葛野大路
下鴨大津線
笹屋町通
東一条通
広小路通
西洞院通
哲学の道
国道１号線
岩上通
境谷本通り
下鴨本通
夷川通
草生上野線
神楽岡通
札辻通
五条坂
三栖向納所線
新町淀停車場線
国道２４号線
相国寺東通
鞍馬街道
御蔭通
河原町通
堀川通
団栗通
大手筋通
外環状線
九条通
妙心寺通
東三本木通
竹屋町通
土屋町通
中山向日線
灰方中山線
東洞院通
神山岩倉停車場線
寺之内通
室町通
竹田街道
下ノ森通
久多広河原線
的場通
小塩山大原野線
八坂通
末吉町通
京都守口線
