bus_stop
花園橋(京都府)
横大路車庫前
北白川
桂消防署前
東高縄町
下津林大般若町
真如堂前
峰ケ堂町三丁目
大原野上里北ノ町
西大橋西詰
田中大久保町
桜木町(京都府)
福西竹の里
小畑川公園北口
西賀茂橋東詰
花園駅前(京都府)
高野(京都府)
下岸町
北白川小倉町
福西遺跡公園前
南広町
神泉苑前
上京区総合庁舎前
物集女
松尾橋(京都府)
吉祥院天満宮前
南禅寺・永観堂道
新林公団住宅前
修学院離宮道
藤森神社前
烏丸七条
小松原児童公園前
洛西口駅前
堀川今出川
河原町丸太町
吉祥院長田町
国道大手筋
北白川仕伏町
吉祥院前田町
竹田浄菩提院町
西大路五条
高野橋東詰
御土居
京都産大前
吉祥院嶋高町
河原町五条
嵯峨嵐山駅前
横大路
久世七本松
深草西浦町
下嵯峨(京都府)
山ノ前町
久我御旅町
墨染
桂小橋
九条大宮
京大桂キャンパス前
西ノ京馬代町
銀閣寺道
千本丸太町
槇ノ尾〔京都市営〕
久世橋東詰
唐戸町
九条車庫前
嵐山(京都府)
千本北大路
河原町八条
馬町
谷ヶ辻町
西大路駅前
京都駅八条口アバンティ前
上賀茂石計町
上里(京都府)
生田口
久世殿城町
東寺道
梅津段町
ゴルフ場前(京都府)
七瀬川町
智恵光院中立売
桂徳大寺
祇園(京都府)
伏見警察署前
広沢御所ノ内町
ＪＲ長岡京駅［東口］
大宮松原
樫原塚ノ本町
山越東町
京都市役所前
竹田久保町
高雄病院前
京都リサーチパーク前
太秦小学校前
七条御前通
地下鉄十条駅前
帷子ノ辻
今宮神社前(京都府)
河原町正面
西小路御池
近鉄上鳥羽口駅前
太秦天神川駅前
上桂駅前
修学院駅前
南区総合庁舎前(京都市)
宇多野御屋敷町
樋爪町
元町(京都府)
嵐電宇多野駅前
高雄小学校前
勝山町(京都府)
荒神口
洛北高校正門前
千本旧二条
深草下川原町
大原野小学校前
鳥羽大橋北詰
田中樋ノ口町
鷹峯上ノ町
京阪中書島・伏見港公園
東福寺道
京大正門前
常盤・嵯峨野高校前
西京極小学校前
東寺南門前
青少年科学センター前
下鳥田町
烏丸下立売
妙心寺北門前
牛若
西洞院六条
烏丸札ノ辻
堀川五条
西大路花屋町
大徳寺前
境谷センター前
吉祥院高畑町
深草北蓮池町
七条大宮・京都水族館前
松尾大社前
ふれあいの里(京都府)
府道横大路
住吉(京都府)
志久呂橋
船戸町
十条新町
桂イノベーションパーク前
竹田駅東口
葛野大路八条
西京極駅前
北山駅前
土天井町
上堀川
今出川浄福寺
吉祥院壱ノ段町
平田町(京都府)
水垂町
上鳥羽馬廻
勧進橋
烏丸六条
島原口
北白川校前
石原団地前
東福寺(京都府)
熊野神社前(京都府)
鳴滝松本町
四条京阪前
丸太町京阪前
西大路八条
京大病院前
壬生寺道
太秦北路町
南太秦
国道中山
下桂(京都府)
千本出水
宝ヶ池
西大路七条
四条中学前
国道三ノ宮
野田町(京都府)
車折神社前
河原町今出川
浄土寺(京都府)
一乗寺地蔵本町
御陵町
築山(京都府)
樫原(京都府)
四条河原町北詰〔よるバス〕
平岡八幡前
西賀茂井ノ口町
久世橋通新町
七本松出水
建勲神社前
